leg,llm_kind,llm,slot_a_model,slot_b_model,voice,target_words,actual_words,n_lines,n_chars,seed,premise_i,status,secs,freeze_verdict,dramatic_state_source,default_wants_present,ds_aboutness,news_reaches_lines,news_terms_in_lines,news_key_terms,title,episode
smoke_0001,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,480,18,5,1864,,success,961,frozen_with_warns,llm,no,YES,YES,quantum error correction,quantum error correction; logical qubit; trapped ion processor; quantum supremacy; 2028; qubits,The Copper Release Pin,signal_lost_the_copper_release_pin_20260620_042443
leg_0002,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,279,18,5,106593,,success,631,frozen_with_warns,llm,no,YES,YES,Yersinia pestis; Lake Baikal; Siberia,Yersinia pestis; Lake Baikal; Siberia; Ruairidh Macleod; University of Oxford; four ancient cemeteries,Vial Through the Port,signal_lost_vial_through_the_port_20260620_043600
leg_0003,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,550,18,5,211322,,success,826,frozen_with_warns,llm,no,YES,YES,Senate,Ocean Observatories Initiative; OOI; Zoe Lofgren; House Science Committee; The New York Times; Senate,The Torn Chart,signal_lost_the_torn_chart_20260620_044831
leg_0004,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,617,18,5,316051,,success,796,frozen_with_warns,llm,no,YES,YES,Shadow Blaster,Shadow Blaster; cosmic neutrinos; supermassive black hole; starburst galaxies; star formation; high-energy neutrinos,Every Eleven Seconds,signal_lost_every_eleven_seconds_20260620_050200
leg_0005,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,671,18,5,9783,,success,1187,frozen_with_warns,llm,no,YES,YES,quantum gravity; cosmological constant; space-time; Einstein; exotic quantum state of matter,quantum gravity; cosmological constant; space-time; Einstein; exotic quantum state of matter,The Brass Locking Pin,signal_lost_the_brass_locking_pin_20260620_052044
leg_0006,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,233,18,5,114512,,success,646,frozen_with_warns,llm,no,YES,YES,NASA,"NASA; Katalyst Space Technologies; Swift; Link; Shawn Domagal-Goldman; Wallops Island, Virginia; three robotic arms",Dial Past the Mark,signal_lost_dial_past_the_mark_20260620_053356
leg_0007,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,566,18,5,219241,,success,751,frozen_with_warns,llm,no,YES,YES,NASA; Swift; Link,"NASA; Katalyst Space Technologies; Swift; Link; Shawn Domagal-Goldman; Wallops Island, Virginia",Twelve Degrees Off,signal_lost_twelve_degrees_off_20260620_054456
leg_0008,remote,or:~anthropic/claude-opus-latest|B:~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,~anthropic/claude-opus-latest,indextts2,864,595,18,5,323970,,success,826,frozen_with_warns,llm,no,YES,YES,Link,Katalyst Space Technologies; NASA; Swift; Link; Wallops Island; Shawn Domagal-Goldman,A Kilometer A Month,signal_lost_a_kilometer_a_month_20260620_055841
leg_0009,remote,or:~google/gemini-pro-latest|B:~anthropic/claude-opus-latest,~google/gemini-pro-latest,~anthropic/claude-opus-latest,indextts2,864,510,18,5,17702,,success,1126,frozen_with_warns,llm,no,YES,YES,Yersinia pestis; Lake Baikal; Siberia; hunter-gatherers,Yersinia pestis; Ruairidh Macleod; University of Oxford; Lake Baikal; Siberia; hunter-gatherers,Teeth of the Dead,signal_lost_teeth_of_the_dead_20260620_061724
leg_0010,remote,or:x-ai/grok-4.3|B:~anthropic/claude-opus-latest,x-ai/grok-4.3,~anthropic/claude-opus-latest,indextts2,864,255,18,5,122431,,success,601,frozen_with_warns,llm,no,YES,no,,quantum error correction; logical qubit; trapped ion processor; quantum supremacy; qubits; 2028,Thumb on the Master Switch,signal_lost_thumb_on_the_master_switch_20260620_062900
leg_0011,remote,or:~openai/gpt-latest|B:~anthropic/claude-opus-latest,~openai/gpt-latest,~anthropic/claude-opus-latest,indextts2,864,490,18,5,227160,,success,721,frozen_with_warns,llm,no,YES,YES,Siberia,Yersinia pestis; Y. pestis; University of Oxford; Ruairidh Macleod; Lake Baikal; Siberia; hunter-gatherers,The Accusing Tooth,signal_lost_the_accusing_tooth_20260620_063955
